Experiment,Fold,Model,Train_Size,Test_Size,Precision,Recall,F1_Score,Evaluated_Entries
1,1,gpt-4o-mini,52,6,0.6363636363636364,0.875,0.7368421052631579,6
1,2,gpt-4o-mini,52,6,0.8571428571428571,0.75,0.8,6
1,3,gpt-4o-mini,52,6,0.8,1.0,0.8888888888888888,6
1,4,gpt-4o-mini,52,6,0.8181818181818182,0.75,0.782608695652174,6
1,5,gpt-4o-mini,52,6,0.6,1.0,0.75,6
1,6,gpt-4o-mini,52,6,0.7777777777777778,0.875,0.8235294117647058,6
1,7,gpt-4o-mini,52,6,0.7272727272727273,0.8888888888888888,0.8,6
1,8,gpt-4o-mini,52,6,0.5384615384615384,0.7777777777777778,0.6363636363636364,6
1,9,gpt-4o-mini,53,5,0.5714285714285714,0.7272727272727273,0.64,5
1,10,gpt-4o-mini,53,5,0.3333333333333333,0.75,0.46153846153846156,5
2,1,gpt-4o-mini,52,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,6
2,2,gpt-4o-mini,52,6,0.75,0.9,0.8181818181818182,6
2,3,gpt-4o-mini,52,6,0.5833333333333334,0.5833333333333334,0.5833333333333334,6
2,4,gpt-4o-mini,52,6,0.7,1.0,0.8235294117647058,6
2,5,gpt-4o-mini,52,6,0.6363636363636364,0.7777777777777778,0.7,6
2,6,gpt-4o-mini,52,6,0.4166666666666667,0.7142857142857143,0.5263157894736842,6
2,7,gpt-4o-mini,52,6,0.6363636363636364,0.7,0.6666666666666666,6
2,8,gpt-4o-mini,52,6,0.5454545454545454,0.8571428571428571,0.6666666666666666,6
2,9,gpt-4o-mini,53,5,0.75,0.8571428571428571,0.8,5
2,10,gpt-4o-mini,53,5,0.625,0.7142857142857143,0.6666666666666666,5
3,1,gpt-4o-mini,52,6,0.5454545454545454,0.75,0.631578947368421,6
3,2,gpt-4o-mini,52,6,0.4166666666666667,0.625,0.5,6
3,3,gpt-4o-mini,52,6,0.625,1.0,0.7692307692307693,6
3,4,gpt-4o-mini,52,6,0.6363636363636364,0.7777777777777778,0.7,6
3,5,gpt-4o-mini,52,6,0.7,1.0,0.8235294117647058,6
3,6,gpt-4o-mini,52,6,0.875,1.0,0.9333333333333333,6
3,7,gpt-4o-mini,52,6,0.7272727272727273,0.8888888888888888,0.8,6
3,8,gpt-4o-mini,52,6,0.7142857142857143,0.7692307692307693,0.7407407407407407,6
3,9,gpt-4o-mini,53,5,0.6363636363636364,0.7777777777777778,0.7,5
3,10,gpt-4o-mini,53,5,0.7777777777777778,0.875,0.8235294117647058,5
